"File","Issue","Suggestion"
"content\developer-guide\Improvement-Tickets.md","All lowercase (should be Title Case)","Improvement-Tickets.md"
"content\developer-guide\architecture\Architecture.md","All lowercase (should be Title Case)","Architecture.md"
"content\developer-guide\architecture\Database-Migration-Status.md","All lowercase (should be Title Case)","Database-Migration-Status.md"
"content\developer-guide\architecture\expect-actual-Pattern.md","All lowercase (should be Title Case)","Expect-Actual-Pattern.md"
"content\developer-guide\architecture\KMP-Migration-Architecture.md","All lowercase (should be Title Case)","KMP-Migration-Architecture.md"
"content\developer-guide\architecture\LiveScoringVM-Analysis.md","All lowercase (should be Title Case)","LiveScoringVM-Analysis.md"
"content\developer-guide\architecture\MVVM-Patterns.md","All lowercase (should be Title Case)","MVVM-Patterns.md"
"content\developer-guide\architecture\Platform-Abstractions-Status.md","All lowercase (should be Title Case)","Platform-Abstractions-Status.md"
"content\developer-guide\architecture\Pre-KMP-Architecture-State.md","All lowercase (should be Title Case)","Pre-KMP-Architecture-State.md"
"content\developer-guide\architecture\Refactoring-Reality-Check.md","All lowercase (should be Title Case)","Refactoring-Reality-Check.md"
"content\developer-guide\architecture\Refactoring-Roadmap.md","All lowercase (should be Title Case)","Refactoring-Roadmap.md"
"content\developer-guide\architecture\room-database-entity-mapping.md","All lowercase (should be Title Case)","Room-Database-Entity-Mapping.md"
"content\developer-guide\architecture\RoundViewModel-Audit.md","All lowercase (should be Title Case)","RoundViewModel-Audit.md"
"content\developer-guide\architecture\RoundViewModel-Refactoring-Plan.md","All lowercase (should be Title Case)","RoundViewModel-Refactoring-Plan.md"
"content\developer-guide\architecture\Scoring-Data-Model.md","All lowercase (should be Title Case)","Scoring-Data-Model.md"
"content\developer-guide\architecture\Scoring-ViewModel-Architecture.md","All lowercase (should be Title Case)","Scoring-ViewModel-Architecture.md"
"content\developer-guide\architecture\settings-architecture.md","All lowercase (should be Title Case)","Settings-Architecture.md"
"content\developer-guide\architecture\Shared-Domain-Status.md","All lowercase (should be Title Case)","Shared-Domain-Status.md"
"content\developer-guide\architecture\System-Architecture.md","All lowercase (should be Title Case)","System-Architecture.md"
"content\developer-guide\architecture\Technical-Debt.md","All lowercase (should be Title Case)","Technical-Debt.md"
"content\developer-guide\ci-cd\Branch-Protection.md","All lowercase (should be Title Case)","Branch-Protection.md"
"content\developer-guide\ci-cd\Hybrid Runner Implementation Guide.md","Contains spaces (should use hyphens)","Hybrid-Runner-Implementation-Guide.md"
"content\developer-guide\ci-cd\Hybrid-Runner-System.md","All lowercase (should be Title Case)","Hybrid-Runner-System.md"
"content\developer-guide\ci-cd\Maintenance-Tasks.md","All lowercase (should be Title Case)","Maintenance-Tasks.md"
"content\developer-guide\ci-cd\Troubleshooting-Guide.md","All lowercase (should be Title Case)","Troubleshooting-Guide.md"
"content\developer-guide\ci-cd\Workflows-Overview.md","All lowercase (should be Title Case)","Workflows-Overview.md"
"content\developer-guide\ci-cd\Patterns\PowerShell-Emoji-Encoding.md","All lowercase (should be Title Case)","PowerShell-Emoji-Encoding.md"
"content\developer-guide\contributing\Contributing-Guide.md","All lowercase (should be Title Case)","Contributing-Guide.md"
"content\developer-guide\contributing\Contributing.md","All lowercase (should be Title Case)","Contributing.md"
"content\developer-guide\guides\Firebase Auth State Loss Across Coroutines.md","Contains spaces (should use hyphens)","Firebase-Auth-State-Loss-Across-Coroutines.md"
